wikipedia_title,mentioned_in_agent,possible_agent_norm,match_score
Stefanie Zweig,"zweig, stefan","zweig, stefan",0.9286
"Biblioteca Palatina, Parma",Incunable,biblioteca palatina di parma,0.9259
Giovanni Battista Ramusio,Prester John,"rasario, giovanni battista",0.9231
Pierre Depuy,"valois, henri de","dupuy, pierre",0.9231
Jules Chéret,Lithography,"cheret, jules",0.9231
John Wyclif,Medieval philosophy,"wycliffe, john",0.9231
Robert Buron,Michel Chamillart,"burns, robert",0.9231
Henri Thomas,"cixous, hélène","thomas, henry",0.9231
Guillaume-François Debure,"debure, guillaume","debure, guillaume francois",0.9231
Martin Buser,"bucer, martin","bucer, martin",0.9231
Geoffrey de Villehardouin,Fourth Crusade,"villehardouin, geoffroi de",0.9231
Museum Meermanno-Westreenianum,Laurens Janszoon Coster,rijksmuseum meermanno-westreenianum,0.9231
Luca Pacioni,"pacioli, luca","pacioli, luca",0.9231
Johann Wolfgang Goethe,"constant, benjamin","goethe, johann wolfgang von",0.92
Manasseh b. Israel,"buxtorf, johann",manasseh ben israel,0.9189
Oliver Sin,Divina proportione,"simon, oliver",0.9167
Johannes Eck,"oecolampadius, johann","eck, johann",0.9167
Henri Beau,"liebermann, max","beraud, henri",0.9167
John Segden,"wycliffe, john","selden, john",0.9167
Jean Perrin,Panthéon,"perrie, jean",0.9167
Pierre Coton,"gillot, jacques","cot, pierre",0.9167
Talk:Johann Christoph Wagenseil,"wagenseil, johann christoph","wagenseil, johann christoph",0.9153
EA Wallis Budge,ابن العبرى، غريغوريوس ابو الفرج،,"budge, e. a. wallis",0.9143
Robert Carothers,"carruthers, robert","carruthers, robert",0.9143
Conseil d'Etat (France),"constant, benjamin",france. conseil d'etat,0.913
Cambridge University Press F.C.,cambridge university press,cambridge university press,0.9123
Theodosius I,"nepos, cornelius",theodosius,0.9091
E.T.A. Hoffmann,German literature,"hoffmann, e. t. a",0.9091
Alfred Freedman,"bucke, richard maurice","friedmann, alfred",0.9091
Pope Alexander VI,Italian Wars,"pope, alexander",0.9091
Raffaello Maffei,"seneca, lucius annaeus","maffei, raffaele",0.9091
